"Timer Tick [ms]","Block-Nr","Power [kW]","Force [kN]","A_ges_vibr","Schlagzahl [1/min]","EXZ_pos [deg]","hydraulic low pressure [bar]","hydraulic high pressure [bar]","A_ACTpos [mm]","B_ACTpos [mm]","DB_ACTpos [mm]","D_ACTpos [mm]","L_ACTpos [mm]","R_ACTpos [mm]","SBA_ActPos [mm]","INDA_ACTpos [deg]","A_ACT_Force [kN]","B_ACT_Force [kN]","DB_ACT_Force [kN]","D_ACT_Force [kN]","L_ACTspd [mm/min]","R_ACTspd [mm/min]","SBA_NomPos [mm] [mm]","INDA_NOMspd [U/min]","A_ACTspd [mm/min]","B_ACTspd [mm/min]","DB_ACTspd [mm/min]","D_ACTspd [mm/min]","L_NOMpos [mm]","R_NOMpos [mm]","SBA_OUT [%]","INDA_NOMpos [deg]","A_NOMpos [mm]","B_NOMpos [mm]","DB_NOMpos [mm]","D_NOMpos [mm]","L_OUT [%]","R_OUT [%]","Feedback SBA [%]","INDA_OUT [%]","A_OUT [%]","B_OUT [%]","DB_OUT [%]","D_OUT [%]","L_NOMspd [mm/min]","R_NOMspd [mm/min]","Frc_Volt","INDA_ACTspd [U/min]","A_NOMspd [mm/min]","B_NOMspd [mm/min]","DB_NOMspd [mm/min]","D_NOMspd [mm/min]","Feedback L [%]","Feedback R [%]","Speed Vn_1 [rpm]","NOMforceSPA [kN]","A_NOM_Force [kN]","B_NOM_Force [kN]","DB_NOM_Force [kN]","D_NOM_Force [kN]","$F_F41L (I14S8)","IP_ActSpd [mm/min]","IP_ActPos [mm]","SPA_OUT [%]","Feedback A [%]","Feedback B [%]","Feedback DB [%]","Feedback D [%]","IP_NomSpd [mm/min]","IP_NomPos","Feedback_SPA [%]","Lub_ActSpd [rpm]","RamRetract_ActSpd [rpm]","Hyd_ActSpd [rpm]","ForgingBox_Temp","TMP_Ind_U1 [°C]","TMP_Ind_F [°C]","IP_Out [%]","ACTforceSPA [kN]","$U_GH_HEATON_1 (U25S0)","W2 Durchfluss [l]","W1 Durchfluss [l]","$E_GH_FAULT_2 (I26S21)","$E_GH_FAULT_1 (I25S21)","$B12R_Y11 (U14S16)","L1.R_B41 [bar]","O_EMERG","STP || EM","O_MASTOP","c01w","c02w","$U_GH_NOMVAL_1 (U25W1)","$H1P_Y12 (U11S17)","$H1P_Y11 (U11S7)","$U_GH_NOMEXT_2 (U26S1)","$U_GH_HEATON_2 (U26S0)","$U_GH_NOMEXT_1 (U25S1)","$U_GH_HEATON_1 (U25S0)"
2602431278,10,46.1021198,0,5.62297604,1205.72836,16.8785938,114.919218,202.586514,1199.955,89.95,499.73,700,94.9001024,94.9001181,-0.015,0.396,1.85857412,3.05735319,1.60857485,-0.594153727,0.00887285153,0.00887265033,0,0,-0.906060577,-0.474632698,-555.042927,-2.02998591e-033,94.9,94.9,-10,43.9892087,1200,90,350,700,0.402947862,0.291868547,-9.66796875,0,0,-0,-6.868,-1.22708332,0,0,0.971679688,-1.21332284e-023,0,60,-2450,0,1.31835938,0.830078125,0,0.869667066,0,0,10,5,0,0,40.0546875,50,0.830078125,0.0244140625,-5.02929688,-0.09765625,0,40,53.3203125,1306.2,600,799.2,42.3390981,656.52847,242.74595,-0.13671875,0.869667066,1,0.0698478233,0.0270914821,0,0,1,34.7423302,0,0,0,2,0,0,0,1,1,0,1,1
2602431288,10,46.1024894,0,10.3025349,1205.56045,89.1246875,114.903538,202.594348,1199.955,89.95,499.47,700,94.9001062,94.9001219,-0.015,0.396,1.81000478,2.45546842,1.90584536,-0.699036539,0.0130253999,0.0130251251,0,0,-2.90146203,-0.342697302,-949.663326,-1.2311204e-033,94.9,94.9,-10,43.9892087,1200,90,350,700,0.400010265,0.289958268,-9.54589844,0,0,1.45265902,-7.64266667,-1.22708332,0,0,0.991210938,-1.09785899e-023,0,60,-2800,0,1.31835938,0.952148438,0,0.925615797,0,0,10,5,0,0,40.0546875,50,0.708007813,0.756835938,-5.63964844,-0.219726563,0,40,53.4423828,1306.2,600,799.2,42.3392111,657.746901,242.742656,-0.13671875,0.925615797,1,0.069710835,0.0271369847,0,0,1,34.6993429,0,0,0,2,0,0,0,1,1,0,1,1
2602431298,10,46.1039658,0,10.3025349,1203.93757,161.590508,114.893311,202.645856,1199.955,89.95,499.25,700,94.9001085,94.9001242,-0.015,0.396,2.09829091,2.69514616,1.12128481,-0.569900797,0.0124424349,0.0124422682,0,0,-0.191567708,-2.81407183,-1094.6207,-7.46634459e-034,94.9,94.9,-10,43.9892087,1200,90,350,700,0.39702419,0.288019866,-9.66796875,0,0,1.46533897,-8.41733333,-1.22708332,0,0,1.04492188,-9.93383063e-024,0,60,-3150,0,1.19628906,0.830078125,0,0.869667066,0,0,10,5,0,0,40.0546875,50,0.830078125,1.61132813,-6.49414063,-0.219726563,0,40,53.4423828,1306.2,604.5,799.2,42.3393236,658.805992,242.737985,-0.13671875,0.869667066,1,0.0695903938,0.0271478705,0,0,1,34.8970078,0,0,0,2,0,0,0,1,1,0,1,1
2602431308,10,46.105261,0,5.58778728,1205.89345,233.880547,114.893616,202.628157,1199.955,89.95,498.955,700,94.9001107,94.9001264,-0.015,0.396,1.37914052,2.81229459,1.95396548,-0.54171232,0.012062979,0.0120628779,0,0,-0.162157938,-2.69643039,-1371.69592,-4.52809503e-034,94.9,94.9,-10,43.9892087,1200,90,350,700,0.393270088,0.285635924,-9.54589844,0,0,1.50680432,-9.192,-1.22708332,0,0,1.07421875,-8.98849417e-024,0,60,-3500,0,0.830078125,0.830078125,0,0.925615797,0,0,10,5,0,0,40.0546875,50,0.708007813,1.61132813,-7.34863281,-0.09765625,0,40,53.3203125,1306.2,604.5,799.2,42.3395877,659.167516,242.757971,-0.13671875,0.925615797,1,0.0695053153,0.0272497523,0,0,1,35.1302427,0,0,0,2,0,0,0,1,1,0,1,1
2602431318,10,46.1047358,0,8.09261104,1205.47569,306.346367,114.903406,202.564241,1199.96,89.95,498.605,700,94.900116,94.9001317,-0.015,0.396,1.61885732,1.85358366,1.79846255,-0.465017984,0.0179159168,0.017914587,0,0,2.34267083,-2.28247025,-1652.42023,-2.74614229e-034,94.9,94.9,-10,43.9892087,1200,90,350,700,0.388682911,0.282768706,-9.54589844,0,0,1.52898623,-9.96666667,-1.22708332,0,0,1.03027344,-8.13311908e-024,0,60,-3850,0,1.31835938,0.830078125,0,0.925615797,0,0,10,5,0,0,40.0546875,50,0.830078125,1.61132813,-7.71484375,-0.219726563,0,40,53.4423828,1306.2,607.2,799.2,42.3400027,659.017406,242.764017,-0.13671875,0.925615797,1,0.0694476554,0.0273202523,0,0,1,35.2664895,0,0,0,2,0,0,0,1,1,0,1,1
2602431328,10,46.1038065,0,10.5338184,1206.86123,18.7682422,114.899274,202.613417,1199.955,89.95,498.28,700,94.9001243,94.90014,-0.015,0.396,2.04972158,2.69514616,3.11039126,-0.440765055,0.0275224198,0.0275212811,0,0,-0.336558858,-1.9320619,-1761.1043,-1.66544594e-034,94.9,94.9,-10,43.9892087,1200,90,350,700,0.384277619,0.280007002,-9.66796875,0,0,1.55125535,-10.7413333,-1.22708332,0,0,0.9765625,-7.35914434e-024,0,60,-4200,0,1.19628906,0.830078125,0,0.925615797,0,0,10,5,0,0,40.0546875,50,0.708007813,1.61132813,-9.05761719,-0.09765625,0,40,53.4423828,1306.2,607.2,799.2,42.3403396,658.805626,242.762728,-0.13671875,0.925615797,1,0.0693943653,0.0272647821,0,0,1,34.9046914,0,0,0,2,0,0,0,1,1,0,1,1
2602431338,10,46.1035856,0,10.5338184,1207.51734,91.0582812,114.967877,202.699618,1199.96,89.95,497.66,700,94.900131,94.9001468,-0.015,0.396,1.81000478,2.45546842,1.33529848,-0.440765055,0.0302239338,0.0302251348,0,0,2.1953419,-1.76785212,-2520.9046,-1.01003876e-034,94.9,94.9,-10,43.9892087,1200,90,350,700,0.380807532,0.277787819,-9.66796875,0,0,1.57389932,-11.516,-1.22708332,0,0,0.991210938,-6.65882361e-024,0,60,-4550,0,1.31835938,0.952148438,0,0.869667066,0,0,10,5,0,0,40.0546875,50,0.830078125,1.61132813,-9.91210938,-0.09765625,0,40,53.3203125,1306.2,600,799.2,42.3404464,658.536647,242.744104,-0.13671875,0.869667066,1,0.0693567895,0.0271149634,0,0,1,34.1899839,0,0,0,2,0,0,0,1,1,0,1,1
2602431348,10,46.1042083,0,5.30097832,1206.55037,163.524102,115.028343,202.691223,1199.955,89.95,496.955,700,94.9001332,94.9001489,-0.015,0.396,1.66742666,1.97611295,1.84930727,-0.594153727,0.0226175723,0.0226183007,0,0,-0.500152772,-1.49644873,-3195.61326,-6.12555643e-035,94.9,94.9,-10,43.9892087,1200,90,350,700,0.37801141,0.275959612,-9.66796875,0,0,1.58680193,-12.2906667,-1.22708332,0,0,1.04980469,-6.02514774e-024,0,60,-4900,0,1.31835938,0.830078125,0,0.925615797,0,0,10,5,0,0,40.0546875,50,0.830078125,1.73339844,-10.6445313,-0.219726563,0,40,53.3203125,1305.9,600,799.2,42.3404005,658.165516,242.752907,-0.13671875,0.925615797,1,0.0692778314,0.0271564364,0,0,1,33.9451505,0,0,0,2,0,0,0,1,1,0,1,1
2602431358,10,46.1048092,0,5.30097832,1207.58872,235.814141,114.998026,202.605434,1199.96,89.95,496.36,700,94.9001323,94.900148,-0.015,0.396,1.61885732,2.45546842,2.34488345,-0.465017984,0.0118744416,0.0118751038,0,0,4.24964588,-1.3348648,-3352.5106,-3.71495064e-035,94.9,94.9,-10,43.9892087,1200,90,350,700,0.374875089,0.27393405,-9.66796875,0,0,1.61877955,-13.0653333,-1.22708332,0,0,1.07910156,-5.45177458e-024,0,60,-5250,0,1.31835938,0.830078125,0,0.869667066,0,0,10,5,0,0,40.0546875,50,0.830078125,1.73339844,-11.3769531,-0.09765625,0,40,53.3203125,1305.9,599.4,799.2,42.3404309,657.921759,242.754089,-0.13671875,0.869667066,1,0.0691579028,0.0273493375,0,0,1,34.1673231,0,0,0,2,0,0,0,1,1,0,1,1
2602431368,10,46.1058228,0,5.70604596,1206.14193,308.279961,114.945469,202.563862,1199.96,89.95,495.645,700,94.9001329,94.9001486,-0.015,0.396,1.81000478,1.61390592,1.89062563,-0.517459391,0.0084227189,0.00842309612,0,0,1.57518701,-1.1299343,-3719.99436,-2.25299668e-035,94.9,94.9,-10,43.9892087,1200,90,350,700,0.371725719,0.27190092,-9.54589844,0,0,1.64124831,-13.84,-1.22708332,0,0,1.03515625,-4.93296553e-024,0,60,-5600,0,1.31835938,0.830078125,0,0.869667066,0,0,10,5,0,0,40.0546875,50,0.830078125,1.73339844,-12.2314453,-0.09765625,0,40,53.3203125,1306.2,599.4,799.2,42.3404612,657.743328,242.772268,-0.13671875,0.869667066,1,0.0690581475,0.0274492148,0,0,1,34.4316644,0,0,0,2,0,0,0,1,1,0,1,1
