"Timer Tick [ms]","Block-Nr","Power [kW]","Force [kN]","A_ges_vibr","Schlagzahl [1/min]","EXZ_pos [deg]","hydraulic low pressure [bar]","hydraulic high pressure [bar]","A_ACTpos [mm]","B_ACTpos [mm]","DB_ACTpos [mm]","D_ACTpos [mm]","L_ACTpos [mm]","R_ACTpos [mm]","SBA_ActPos [mm]","INDA_ACTpos [deg]","A_ACT_Force [kN]","B_ACT_Force [kN]","DB_ACT_Force [kN]","D_ACT_Force [kN]","L_ACTspd [mm/min]","R_ACTspd [mm/min]","SBA_NomPos [mm] [mm]","INDA_NOMspd [U/min]","A_ACTspd [mm/min]","B_ACTspd [mm/min]","DB_ACTspd [mm/min]","D_ACTspd [mm/min]","L_NOMpos [mm]","R_NOMpos [mm]","SBA_OUT [%]","INDA_NOMpos [deg]","A_NOMpos [mm]","B_NOMpos [mm]","DB_NOMpos [mm]","D_NOMpos [mm]","L_OUT [%]","R_OUT [%]","Feedback SBA [%]","INDA_OUT [%]","A_OUT [%]","B_OUT [%]","DB_OUT [%]","D_OUT [%]","L_NOMspd [mm/min]","R_NOMspd [mm/min]","Frc_Volt","INDA_ACTspd [U/min]","A_NOMspd [mm/min]","B_NOMspd [mm/min]","DB_NOMspd [mm/min]","D_NOMspd [mm/min]","Feedback L [%]","Feedback R [%]","Speed Vn_1 [rpm]","NOMforceSPA [kN]","A_NOM_Force [kN]","B_NOM_Force [kN]","DB_NOM_Force [kN]","D_NOM_Force [kN]","$F_F41L (I14S8)","IP_ActSpd [mm/min]","IP_ActPos [mm]","SPA_OUT [%]","Feedback A [%]","Feedback B [%]","Feedback DB [%]","Feedback D [%]","IP_NomSpd [mm/min]","IP_NomPos","Feedback_SPA [%]","Lub_ActSpd [rpm]","RamRetract_ActSpd [rpm]","Hyd_ActSpd [rpm]","ForgingBox_Temp","TMP_Ind_U1 [°C]","TMP_Ind_F [°C]","IP_Out [%]","ACTforceSPA [kN]","$U_GH_HEATON_1 (U25S0)","W2 Durchfluss [l]","W1 Durchfluss [l]","$E_GH_FAULT_2 (I26S21)","$E_GH_FAULT_1 (I25S21)","$B12R_Y11 (U14S16)","L1.R_B41 [bar]","O_EMERG","STP || EM","O_MASTOP","c01w","c02w","$U_GH_NOMVAL_1 (U25W1)","$H1P_Y12 (U11S17)","$H1P_Y11 (U11S7)","$U_GH_NOMEXT_2 (U26S1)","$U_GH_HEATON_2 (U26S0)","$U_GH_NOMEXT_1 (U25S1)","$U_GH_HEATON_1 (U25S0)"
2603577162,10,45.458496,0,0.0010822668,1205.53078,356.707695,114.860044,202.354707,1199.94,89.955,499.88,700,94.9001027,94.9000609,-0.015,0.48,2.00741201,2.07711881,1.65645083,0.193107016,-0.0082575131,0.0246713155,0,0,0.00141954458,-1.33551594,-266.066877,-8.80129745e-035,94.9,94.9,-10,18.8579335,1200,90,350,700,0.104812149,0.153004185,-9.54589844,0,0,-0,-6.09333333,-1.22787499,0,0,1.09375,1.08310709e-051,0,0,-2100,0,0.952148438,0.708007813,0,0.869667066,0,0,10,5,0,0,40.0546875,50,0.830078125,0.146484375,-4.296875,-0.219726563,0,40,53.3203125,1302,599.4,799.2,42.5614334,661.213591,242.743478,-0.13671875,0.869667066,1,0.110314266,0.0254312438,0,0,1,34.6647889,0,0,0,2,0,0,0,1,1,0,1,1
2603577172,10,45.4582681,0,0.00130019704,1207.78051,69.1735156,114.839512,202.366528,1199.94,89.95,499.71,700,94.9001026,94.9000608,-0.015,0.48,1.62511709,1.83744108,1.32466372,0.245548422,-0.0232184343,0.014700489,0,0,0.00120161391,-3.752963,-549.638451,-5.3377005e-035,94.9,94.9,-10,18.8579335,1200,90,350,700,0.101794742,0.151802914,-9.54589844,0,0,-0,-6.868,-1.22787499,0,0,1.08398438,9.80035003e-052,0,60,-2450,0,0.952148438,0.708007813,0,0.869667066,0,0,10,5,0,0,40.0546875,50,0.708007813,0.146484375,-5.15136719,-0.09765625,0,40,53.3203125,1302,599.4,799.2,42.5615792,661.765431,242.763018,-0.13671875,0.869667066,1,0.110006184,0.0255274304,0,0,1,34.5505727,0,0,0,2,0,0,0,1,1,0,1,1
2603577182,10,45.458738,0,0.00148467029,1206.64138,141.639336,114.843528,202.314623,1199.94,89.95,499.425,700,94.9001055,94.9000637,-0.015,0.48,1.14568349,2.67900358,2.3062897,0.294054281,-0.00818149352,0.0148150995,0,0,0.00101714029,-3.60508475,-1006.4059,-3.23714166e-035,94.9,94.9,-10,18.8579335,1200,90,350,700,0.0979881689,0.150143839,-9.54589844,0,0,1.46640381,-7.64266667,-1.22787499,0,0,1.1328125,8.86771603e-052,0,60,-2800,0,0.952148438,0.830078125,0,0.869667066,0,0,10,5,0,0,40.0546875,50,0.708007813,1.12304688,-5.88378906,-0.09765625,0,40,53.3203125,1301.7,603.3,799.2,42.5618765,662.217237,242.751204,-0.13671875,0.869667066,1,0.109773291,0.02562266,0,0,1,34.4978868,0,0,0,2,0,0,0,1,1,0,1,1
2603577192,10,45.4600293,0,0.00164082292,1207.12873,213.929375,114.843345,202.314651,1199.94,89.95,499.21,700,94.9001115,94.9000696,-0.015,0.48,1.57654775,2.07711881,1.12276919,0.318307211,0.00702711934,0.0209754871,0,0,0.000860987347,-3.05162659,-1126.00775,-1.96322108e-035,94.9,94.9,-10,18.8579335,1200,90,350,700,0.0933274861,0.147989286,-9.54589844,0,0,1.48840683,-8.41733333,-1.22787499,0,0,1.18164063,8.02383459e-052,0,60,-3150,0,0.952148438,0.5859375,0,0.869667066,0,0,10,5,0,0,40.0546875,50,0.708007813,1.61132813,-6.73828125,-0.219726563,0,40,53.4423828,1301.7,603.3,799.2,42.5623245,662.643321,242.734885,-0.13671875,0.869667066,1,0.109561696,0.0255954693,0,0,1,34.7767437,0,0,0,2,0,0,0,1,1,0,1,1
2603577202,10,45.4618528,0,0.00177300276,1207.15644,286.439141,114.83192,202.352835,1199.94,89.95,498.905,700,94.9001204,94.9000786,-0.015,0.48,1.86483388,2.31679655,1.70840395,0.346495687,0.0223565456,0.0308135976,0,0,0.000728807242,-2.58313617,-1399.36985,-1.1906297e-035,94.9,94.9,-10,18.8579335,1200,90,350,700,0.0888380895,0.145934098,-9.54589844,0,0,1.50986458,-9.192,-1.22787499,0,0,1.16699219,7.26025972e-052,0,60,-3500,0,1.07421875,0.708007813,0,0.981564527,0,0,10,5,0,0,40.0546875,50,0.708007813,1.73339844,-7.59277344,-0.219726563,0,40,53.3203125,1301.7,604.2,799.2,42.5626941,662.855118,242.755311,-0.13671875,0.981564527,1,0.109318043,0.0255989174,0,0,1,34.943754,0,0,0,2,0,0,0,1,1,0,1,1
2603577212,10,45.4618341,0,0.00188489015,1206.40965,358.685234,114.814768,202.422236,1199.94,89.95,498.56,700,94.9001086,94.900086,-0.015,0.48,1.81626455,1.84282194,2.63473208,0.217359945,-0.0238000504,0.0335662446,0,0,0.000616919632,-1.79742108,-1659.1996,-7.22078168e-036,94.9,94.9,-10,18.8579335,1200,90,350,700,0.0893058805,0.143997758,-9.66796875,0,0,1.54161772,-9.96666667,-1.22787499,0,0,1.11328125,6.56934918e-052,0,60,-3850,0,0.830078125,0.708007813,0,0.869667066,0,0,10,5,0,0,40.0546875,50,0.708007813,1.61132813,-8.44726563,-0.09765625,0,40,53.4423828,1301.7,604.2,799.2,42.5629858,662.539124,242.762411,-0.13671875,0.869667066,1,0.109031261,0.025575759,0,0,1,34.7729442,0,0,0,2,0,0,0,1,1,0,1,1
2603577222,10,45.4602924,0,0.000398134489,1206.10357,71.1510547,114.810273,202.415707,1199.94,89.945,498.22,700,94.9001145,94.9000918,-0.015,0.48,2.00741201,2.19964811,2.80507876,0.269801352,-0.00270198413,0.0320892761,0,0,0.000522209179,-6.27557311,-1802.85045,-4.37916912e-036,94.9,94.9,-10,18.8579335,1200,90,350,700,0.0856936461,0.142199652,-9.66796875,0,0,1.57236178,-10.7413333,-1.22787499,0,0,1.08886719,5.944188e-052,0,60,-4200,0,0.952148438,0.708007813,0,0.869667066,0,0,10,5,0,0,40.0546875,50,0.5859375,1.61132813,-9.1796875,-0.341796875,0,40,53.3203125,1301.7,599.4,799.2,42.5631999,662.154141,242.777407,-0.13671875,0.869667066,1,0.108785293,0.0256515276,0,0,1,34.3868816,0,0,0,2,0,0,0,1,1,0,1,1
2603577232,10,45.4586351,0,0.000478304687,1206.10641,143.441094,114.889855,202.378277,1199.94,89.945,497.54,700,94.9001188,94.9000961,-0.015,0.48,2.00741201,2.31679655,1.16346743,0.241612875,0.00697096082,0.0280712441,0,0,0.000442038821,-5.36389262,-2699.71969,-2.65582357e-036,94.9,94.9,-10,18.8579335,1200,90,350,700,0.087528144,0.140980623,-9.66796875,0,0,1.59379881,-11.516,-1.22787499,0,0,1.13769531,5.37851924e-052,0,60,-4550,0,1.07421875,0.708007813,0,0.869667066,0,0,10,5,0,0,40.0546875,50,0.830078125,1.73339844,-10.15625,-0.219726563,0,40,53.4423828,1301.7,600,799.2,42.5631847,661.431213,242.781636,-0.13671875,0.869667066,1,0.108560753,0.0258252388,0,0,1,34.2478849,0,0,0,2,0,0,0,1,1,0,1,1
2603577242,10,45.4578462,0,0.000546167032,1206.06716,215.950859,115.028685,202.399688,1199.94,89.945,496.89,700,94.9000993,94.9000958,-0.015,0.48,1.57654775,1.83744108,2.07792055,0.318307211,-0.0410352217,0.0164094165,0,0,0.00037417634,-4.54041956,-3178.28512,-1.61067057e-036,94.9,94.9,-10,18.8579335,1200,90,350,700,0.0860813473,0.140186941,-9.66796875,0,0,1.61543741,-12.2906667,-1.22787499,0,0,1.18164063,4.86668141e-052,0,60,-4900,0,0.952148438,0.708007813,0,0.925615797,0,0,10,5,0,0,40.0546875,50,0.708007813,1.61132813,-10.7666016,-0.09765625,0,40,53.3203125,1301.7,600,799.2,42.5630173,660.334588,242.770855,-0.13671875,0.925615797,1,0.108308079,0.0259402812,0,0,1,34.3904877,0,0,0,2,0,0,0,1,1,0,1,1
2603577252,10,45.4559572,0,0.000603611046,1205.31132,288.240898,115.010447,202.438021,1199.94,89.945,496.305,700,94.9000959,94.9000924,-0.015,0.48,2.43827627,2.43932584,2.15461977,0.370748617,-0.031650666,0.00318763772,0,0,0.000316732212,-3.84336735,-3324.32777,-9.76819288e-037,94.9,94.9,-10,18.8579335,1200,90,350,700,0.0836163006,0.138802562,-9.66796875,0,0,1.63704393,-13.0653333,-1.22787499,0,0,1.16699219,4.40355177e-052,0,60,-5250,0,0.952148438,0.830078125,0,0.869667066,0,0,10,5,0,0,40.0546875,50,0.708007813,1.85546875,-11.7431641,-0.219726563,0,40,53.4423828,1301.7,600,799.2,42.563079,659.19334,242.792495,-0.13671875,0.869667066,1,0.108031347,0.0256062485,0,0,1,34.6114899,0,0,0,2,0,0,0,1,1,0,1,1
